city,year,avg_temp,Budapest_5years_moving_average,10years_moving_average,50years_moving_average,GLOBAL_year,GLOBAL_avg_temp,Global_5years_moving_average,difference bet,10_moving_average,50_moving_average,
Budapest,1750,10.55,,,,1750,8.72,,,,,
Budapest,1751,10.89,,,,1751,7.98,,,,,
Budapest,1752,4.74,,,,1752,5.78,,,,,
Budapest,1753,9.66,,,,1753,8.39,,,,,
Budapest,1754,9.55,9.078,,,1754,8.47,7.868,1.21,,,
Budapest,1755,9.35,8.838,,,1755,8.36,7.796,1.042,,,
Budapest,1756,10.24,8.708,,,1756,8.85,7.97,0.738,,,
Budapest,1757,9.92,9.744,,,1757,9.02,8.618,1.126,,,
Budapest,1758,8.71,9.554,,,1758,6.74,8.288,1.266,,,
Budapest,1759,9.73,9.59,9.334,,1759,7.99,8.192,1.398,8.03,,
Budapest,1760,9.49,9.618,9.228,,1760,7.19,7.958,1.66,7.877,,
Budapest,1761,10.13,9.596,9.152,,1761,8.77,7.942,1.654,7.956,,
Budapest,1762,9.72,9.556,9.65,,1762,8.61,7.86,1.696,8.239,,
Budapest,1763,9.22,9.658,9.606,,1763,7.5,8.012,1.646,8.15,,
Budapest,1764,10.02,9.716,9.653,,1764,8.4,8.094,1.622,8.143,,
Budapest,1765,9.8,9.778,9.698,,1765,8.25,8.306,1.472,8.132,,
Budapest,1766,9.69,9.69,9.643,,1766,8.41,8.234,1.456,8.088,,
Budapest,1767,9.15,9.576,9.566,,1767,8.22,8.156,1.42,8.008,,
Budapest,1768,8.48,9.428,9.543,,1768,6.78,8.012,1.416,8.012,,
Budapest,1769,9.46,9.316,9.516,,1769,7.69,7.87,1.446,7.982,,
Budapest,1770,9.49,9.254,9.516,,1770,7.69,7.758,1.496,8.032,,
Budapest,1771,8.94,9.104,9.397,,1771,7.85,7.646,1.458,7.94,,
Budapest,1772,10.68,9.41,9.493,,1772,8.19,7.64,1.77,7.898,,
Budapest,1773,10.14,9.742,9.585,,1773,8.22,7.928,1.814,7.97,,
Budapest,1774,9.89,9.828,9.572,,1774,8.77,8.144,1.684,8.007,,
Budapest,1775,10.61,10.052,9.653,,1775,9.18,8.442,1.61,8.1,,
Budapest,1776,9.26,10.116,9.61,,1776,8.3,8.532,1.584,8.089,,
Budapest,1777,9.38,9.856,9.633,,1777,8.26,8.546,1.31,8.093,,
Budapest,1778,10.63,9.954,9.848,,1778,8.54,8.61,1.344,8.269,,
Budapest,1779,10.77,10.13,9.979,,1779,8.98,8.652,1.478,8.398,,
Budapest,1780,9.5,9.908,9.98,,1780,9.43,8.702,1.206,8.572,,
Budapest,1781,10.49,10.154,10.135,,1781,8.1,8.662,1.492,8.597,,
Budapest,1782,9.3,10.138,9.997,,1782,7.9,8.59,1.548,8.568,,
Budapest,1783,10.21,10.054,10.004,,1783,7.68,8.418,1.636,8.514,,
Budapest,1784,9.22,9.744,9.937,,1784,7.86,8.194,1.55,8.423,,
Budapest,1785,8.47,9.538,9.723,,1785,7.36,7.78,1.758,8.241,,
Budapest,1786,8.81,9.202,9.678,,1786,8.26,7.812,1.39,8.237,,
Budapest,1787,9.99,9.34,9.739,,1787,8.03,7.838,1.502,8.214,,
Budapest,1788,9.5,9.198,9.626,,1788,8.45,7.992,1.206,8.205,,
Budapest,1789,10.07,9.368,9.556,,1789,8.33,8.086,1.282,8.14,,
Budapest,1790,10.1,9.694,9.616,,1790,7.98,8.21,1.484,7.995,,
Budapest,1791,10.7,10.072,9.637,,1791,8.23,8.204,1.868,8.008,,
Budapest,1792,9.77,10.028,9.684,,1792,8.09,8.216,1.812,8.027,,
