year,avg_temp
2015,9.83
2014,9.57
2013,9.61
2012,9.51
2011,9.52
2010,9.7
2009,9.51
2008,9.43
2007,9.73
2006,9.53
2005,9.7
2004,9.32
2003,9.53
2002,9.57
2001,9.41
2000,9.2
1999,9.29
1998,9.52
1997,9.2
1996,9.04
1995,9.35
1994,9.04
1993,8.87
1992,8.84
1991,9.18
1990,9.23
1989,8.92
1988,9.2
1987,8.99
1986,8.83
1985,8.66
1984,8.69
1983,9.03
1982,8.64
1981,9.17
1980,8.98
1979,8.73
1978,8.69
1977,8.85
1976,8.35
1975,8.74
1974,8.47
1973,8.95
1972,8.5
1971,8.6
1970,8.7
1969,8.6
1968,8.52
1967,8.7
1966,8.6
1965,8.53
1964,8.41
1963,8.86
1962,8.75
1961,8.8
1960,8.58
1959,8.73
1958,8.77
1957,8.73
1956,8.28
1955,8.63
1954,8.56
1953,8.87
1952,8.64
1951,8.63
1950,8.37
1949,8.59
1948,8.75
1947,8.8
1946,8.68
1945,8.58
1944,8.85
1943,8.76
1942,8.73
1941,8.77
1940,8.76
1939,8.76
1938,8.86
1937,8.7
1936,8.55
1935,8.52
1934,8.63
1933,8.34
1932,8.71
1931,8.72
1930,8.63
1929,8.24
1928,8.63
1927,8.52
1926,8.73
1925,8.53
1924,8.51
1923,8.42
1922,8.41
1921,8.57
1920,8.36
1919,8.38
1918,8.13
1917,8.02
1916,8.23
1915,8.59
1914,8.59
1913,8.3
1912,8.17
1911,8.18
1910,8.22
1909,8.18
1908,8.19
1907,7.95
1906,8.38
1905,8.23
1904,8.09
1903,8.22
1902,8.3
1901,8.54
1900,8.5
1899,8.4
1898,8.18
1897,8.29
1896,8.21
1895,8.15
1894,8.16
1893,8.06
1892,8.07
1891,8.02
1890,7.97
1889,8.32
1888,8.09
1887,7.91
1886,7.95
1885,7.92
1884,7.77
1883,7.98
1882,8.13
1881,8.27
1880,8.12
1879,8.17
1878,8.83
1877,8.54
1876,8.08
1875,7.86
1874,8.43
1873,8.35
1872,8.19
1871,8.12
1870,8.2
1869,8.43
1868,8.25
1867,8.44
1866,8.29
1865,8.18
1864,7.98
1863,8.11
1862,7.56
1861,7.85
1860,7.96
1859,8.25
1858,8.1
1857,7.76
1856,8
1855,8.11
1854,8.21
1853,8.04
1852,8.1
1851,8.18
1850,7.9
1849,7.98
1848,7.98
1847,8.09
1846,8.55
1845,7.85
1844,7.65
1843,8.17
1842,8.02
1841,7.69
1840,7.8
1839,7.63
1838,7.51
1837,7.38
1836,7.7
1835,7.39
1834,8.15
1833,8.01
1832,7.45
1831,7.64
1830,8.52
1829,7.94
1828,8.17
1827,8.81
1826,8.36
1825,8.39
1824,8.55
1823,7.72
1822,8.19
1821,8.09
1820,7.62
1819,7.37
1818,7.83
1817,6.98
1816,6.94
1815,7.24
1814,7.59
1813,7.74
1812,7.05
1811,6.86
1810,6.92
1809,7.08
1808,7.63
1807,8.28
1806,8.43
1805,8.56
1804,8.84
1803,8.5
1802,8.58
1801,8.59
1800,8.48
1799,8.51
1798,8.67
1797,8.51
1796,8.27
1795,8.35
1794,8.53
1793,8.23
1792,8.09
1791,8.23
1790,7.98
1789,8.33
1788,8.45
1787,8.03
1786,8.26
1785,7.36
1784,7.86
1783,7.68
1782,7.9
1781,8.1
1780,9.43
1779,8.98
1778,8.54
1777,8.26
1776,8.3
1775,9.18
1774,8.77
1773,8.22
1772,8.19
1771,7.85
1770,7.69
1769,7.69
1768,6.78
1767,8.22
1766,8.41
1765,8.25
1764,8.4
1763,7.5
1762,8.61
1761,8.77
1760,7.19
1759,7.99
1758,6.74
1757,9.02
1756,8.85
1755,8.36
1754,8.47
1753,8.39
1752,5.78
1751,7.98
1750,8.72
